genus,Estonia_1,Cyprus_1,Spain_3_1,Spain_3_2,Spain_4,Sweden_1,Sweden_2_1,Sweden_2_2,Sweden_2_3,Sweden_2_4,Luxembourg_1,Bulgaria_1,Bulgaria_3,Denmark_1,UK_1_1,UK_1_2,UK_2,UK_3,UK_4,Ireland_1,Norway_1,Norway_2,Norway_3_1,Norway_3_2,Hungary_1,Portugal_1,Netherlands_1,Switzerland_1,Latvia_1,Belgium_1_1,Belgium_1_2,sum
Cheumatopsyche,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,36
Chimarra,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,22
Chironomus,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,22
Chloromyia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10
Chloroperla,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,26
Choroterpes,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,35
Chrysogaster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
Chrysopilus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
Chrysops,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,11
Cladopelma,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,22
